Team,Year,GP,G,A,PTS,Plus.Minus,PIM,G.EV,G.PP,G.SH,GW,A.EV,A.PP,A.SH,S,S.pct,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO.pct,WIN.pct
Edmonton Oilers,2011-12,82,207,358,565,-136,922,148,54,5,27,254,100,3,2186,9.5,33.7,31.5,80,1239,1632,2182,2391,47.7,0.409
Florida Panthers,2011-12,82,197,339,536,-107,762,140,53,4,32,236,100,2,2433,8.1,28.8,35.3,80.2,1042,1858,2318,2265,50.6,0.53
Los Angeles Kings,2011-12,82,188,328,516,26,917,130,49,9,34,227,91,8,2509,7.5,25.7,51.9,94.5,964,2246,2366,2225,51.5,0.524
Minnesota Wild,2011-12,82,166,283,449,-205,978,122,39,5,24,205,73,3,2174,7.6,16.1,35.3,68.7,1347,1771,2461,2343,51.2,0.415
Montreal Canadiens,2011-12,82,207,346,553,-81,934,154,43,10,26,244,85,12,2340,8.8,33.6,36.3,85.2,1341,1840,2287,2452,48.3,0.433
Nashville Predators,2011-12,82,232,407,639,53,677,173,54,5,43,292,102,7,2261,10.3,43.9,40.4,102,1213,1514,2394,2492,49,0.585
New Jersey Devils,2011-12,82,216,373,589,-63,924,155,46,15,36,264,88,17,2253,9.6,36.6,42.6,91.8,928,1677,2095,2356,47.1,0.524
New York Islanders,2011-12,82,196,348,544,-285,755,147,45,4,27,256,86,3,2410,8.1,28.5,27.1,67.6,1364,1840,2188,2371,48,0.421
New York Rangers,2011-12,82,222,387,609,143,1045,170,44,8,47,288,83,11,2338,9.5,39.4,48.9,105,1338,2419,2286,2291,49.9,0.591
Ottawa Senators,2011-12,82,243,416,659,79,1121,185,49,9,35,310,90,12,2574,9.4,49.1,31,95.2,1078,1975,2453,2440,50.1,0.494
Philadelphia Flyers,2011-12,82,260,450,710,117,1300,188,66,6,43,313,127,8,2641,9.8,55.8,34.6,102.4,1208,2058,2331,2494,48.3,0.567
Pittsburgh Penguins,2011-12,82,273,473,746,142,868,205,57,11,42,351,107,12,2779,9.8,61,38.5,111,1065,2058,2500,2457,50.4,0.591
San Jose Sharks,2011-12,82,219,391,610,50,767,159,57,3,34,277,110,4,2773,7.9,38.7,41.7,94.9,1327,1565,2590,2267,53.3,0.512
St Louis Blues,2011-12,82,206,348,554,207,1046,154,45,7,45,256,86,6,2512,8.2,33.6,56.8,108.5,1120,1949,2336,2297,50.4,0.622
Tampa Bay Lightning,2011-12,82,232,392,624,-148,849,189,41,2,35,306,80,3,2227,10.4,43.9,19.2,72,1278,1788,2354,2491,48.6,0.433
Toronto Maple Leafs,2011-12,82,227,393,620,-149,808,173,49,5,31,292,95,5,2322,9.8,42.6,24.4,78.4,1223,2218,2422,2267,51.7,0.433
Vancouver Canucks,2011-12,82,241,426,667,159,1039,177,57,7,43,308,109,6,2583,9.3,47.6,43.8,110.5,1019,1826,2529,2320,52.2,0.585
Washington Capitals,2011-12,82,218,364,582,-18,751,174,41,3,38,282,75,4,2295,9.5,38,34.5,87,1302,1972,2380,2384,50,0.494
Winnipeg Jets,2011-12,82,221,382,603,-37,901,173,45,3,33,294,84,2,2471,8.9,39.7,29.8,82,1197,1966,2335,2427,49,0.451
Anaheim Ducks,2010-11,82,235,417,652,-67,1158,161,67,7,43,276,130,9,2334,10.1,43.1,34.5,93.9,1248,1936,2206,2421,47.7,0.524
Arizona Coyotes,2010-11,82,226,383,609,123,851,175,46,5,38,287,90,6,2486,9.1,39.1,36.6,93.4,1056,1881,2551,2406,51.5,0.561
Atlanta Thrashers,2010-11,82,218,358,576,-179,908,159,53,6,29,251,101,6,2581,8.4,36,24.8,74.2,1267,1497,2279,2400,48.7,0.396
Boston Bruins,2010-11,82,244,413,657,284,1105,190,43,11,44,320,82,8,2696,9.1,46.2,45.4,113.4,1172,1736,2485,2306,51.9,0.61
Buffalo Sabres,2010-11,82,240,413,653,37,942,184,54,2,38,304,105,1,2690,8.9,44.4,36.6,96,1168,1505,2252,2472,47.7,0.494
Calgary Flames,2010-11,82,241,421,662,0,818,172,62,7,32,296,116,8,2501,9.6,45,35.5,92.5,1209,1664,2350,2531,48.1,0.506
Carolina Hurricanes,2010-11,82,231,388,619,-39,821,169,55,7,35,275,106,6,2517,9.2,41.3,32.8,91.5,1183,2105,2163,2680,44.7,0.488
Chicago Blackhawks,2010-11,82,252,437,689,92,720,182,64,6,38,303,125,8,2637,9.6,49.7,39.1,102,1144,1824,2414,2337,50.8,0.53
Colorado Avalanche,2010-11,82,221,376,597,-203,1055,164,49,8,24,273,93,8,2394,9.2,37.2,19.3,66.5,1176,1726,2436,2375,50.6,0.341
Columbus Blue Jackets,2010-11,82,210,375,585,-108,1099,162,42,6,29,283,80,10,2506,8.4,32.5,28.7,72.2,1114,2316,2459,2345,51.2,0.433
Dallas Stars,2010-11,82,222,375,597,-43,1052,157,55,10,37,257,102,10,2269,9.8,36.5,35.5,87.1,1204,2212,2386,2390,50,0.518
Detroit Red Wings,2010-11,82,257,456,713,26,748,185,67,5,43,317,133,5,2757,9.3,51.8,33.4,98.7,917,1794,2540,2350,51.9,0.555
Edmonton Oilers,2010-11,82,191,337,528,-212,1250,139,44,8,23,242,84,10,2188,8.7,25,24.8,62.3,1219,1794,2036,2575,44.2,0.354
Florida Panthers,2010-11,82,191,336,527,-137,694,152,35,4,26,264,69,1,2493,7.7,24.5,36.3,77.9,1125,1895,2409,2230,51.9,0.378
Los Angeles Kings,2010-11,82,209,370,579,22,938,158,47,4,36,274,89,5,2363,8.8,32,47.5,94,1032,2127,2407,2301,51.1,0.53
Minnesota Wild,2010-11,82,203,357,560,-133,969,143,53,7,36,253,96,7,2148,9.5,29.6,34.8,81.1,1129,1865,2408,2336,50.8,0.476
Montreal Canadiens,2010-11,82,213,365,578,-3,1069,151,57,5,41,250,106,6,2602,8.2,34.3,42.7,94.7,1272,1658,2309,2403,49,0.537
Nashville Predators,2010-11,82,213,370,583,118,694,167,41,5,38,285,82,3,2362,9,34.2,47.3,100.2,1007,1684,2352,2333,50.2,0.555
New Jersey Devils,2010-11,82,171,288,459,-155,747,134,34,3,35,215,66,4,2344,7.3,15.6,44.5,71.2,875,1539,2186,2085,51.2,0.433
New York Islanders,2010-11,82,225,376,601,-185,1489,158,52,15,26,267,96,10,2408,9.3,38.2,26,77.4,1362,1786,2407,2392,50.2,0.378
New York Rangers,2010-11,82,224,384,608,86,1060,164,49,11,35,275,89,16,2453,9.1,37.8,46.5,101.3,1301,2333,2195,2404,47.7,0.494
Ottawa Senators,2010-11,82,190,312,502,-269,1143,139,45,6,30,219,85,8,2381,8,25.1,30.6,69,1115,1658,2293,2217,50.8,0.427
Philadelphia Flyers,2010-11,82,256,427,683,214,1111,194,49,13,44,322,91,12,2605,9.8,51.6,38.9,105.8,1317,1905,2484,2454,50.3,0.61
Pittsburgh Penguins,2010-11,82,228,390,618,123,1372,166,49,13,39,283,89,16,2582,8.8,40.1,47,102.8,1082,2280,2329,2403,49.2,0.555
San Jose Sharks,2010-11,82,243,426,669,110,921,169,68,6,43,295,126,4,2832,8.6,45.8,42.3,102.4,1141,1801,2581,2224,53.7,0.579
St Louis Blues,2010-11,82,236,393,629,24,1209,177,52,7,34,289,97,7,2475,9.5,42.6,36.2,89.5,1099,1958,2180,2428,47.3,0.488
Tampa Bay Lightning,2010-11,82,241,421,662,-66,881,171,69,1,40,282,136,0,2605,9.3,44.7,34.3,90.4,1249,1647,2486,2448,50.4,0.543
Toronto Maple Leafs,2010-11,82,213,359,572,-112,967,156,52,5,32,256,98,4,2360,9,33.9,30.3,77.5,1323,2049,2371,2328,50.5,0.476
Vancouver Canucks,2010-11,82,258,450,708,245,933,180,72,6,50,302,137,5,2624,9.8,52.4,50.4,121.9,1071,1791,2653,2183,54.9,0.665
Washington Capitals,2010-11,82,219,370,589,118,906,166,46,7,43,276,87,6,2566,8.5,35.8,46.9,98.8,1241,1865,2493,2343,51.6,0.567
