Team,Year,GP,G,A,PTS,Plus.Minus,PIM,G.EV,G.PP,G.SH,GW,A.EV,A.PP,A.SH,S,S.pct,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO.pct,WIN.pct
Los Angeles Kings,2012-13,48,131,228,359,51,471,96,33,2,25,161,63,3,1431,9.2,23.9,26.6,57.1,511,1446,1470,1356,52,0.583
Minnesota Wild,2012-13,48,118,208,326,-41,539,90,27,1,22,152,54,2,1382,8.5,18.4,23,48.3,614,956,1487,1348,52.5,0.5
Montreal Canadiens,2012-13,48,146,260,406,78,624,104,42,0,26,178,82,0,1468,9.9,30.5,23.5,60.9,702,1065,1498,1514,49.7,0.604
Nashville Predators,2012-13,48,109,191,300,-69,461,84,24,1,14,142,47,1,1244,8.8,14.5,19.2,40.6,703,995,1381,1396,49.7,0.375
New Jersey Devils,2012-13,48,110,176,286,-60,495,71,28,11,17,117,50,6,1362,8.1,14.2,23.5,42.1,515,892,1339,1440,48.2,0.469
New York Islanders,2012-13,48,135,234,369,-27,455,102,31,2,20,169,60,1,1485,9.1,25,19.1,51.3,766,1018,1369,1385,49.7,0.51
New York Rangers,2012-13,48,126,205,331,98,432,97,24,5,22,152,46,6,1483,8.5,21.5,27.2,59.1,773,1413,1410,1410,50,0.5
Ottawa Senators,2012-13,48,112,198,310,34,649,85,25,2,21,147,49,2,1591,7,16.1,28.6,58,616,1307,1420,1469,49.2,0.521
Philadelphia Flyers,2012-13,48,132,223,355,-89,737,93,37,2,22,147,70,2,1394,9.5,24,18.2,49.4,784,1316,1408,1493,48.5,0.479
Pittsburgh Penguins,2012-13,48,162,283,445,165,551,118,42,2,33,201,78,0,1438,11.3,36.6,24.6,70.7,735,1229,1489,1404,51.5,0.698
San Jose Sharks,2012-13,48,116,195,311,-42,517,79,34,3,17,126,64,4,1526,7.6,17.7,26.2,54.1,800,1031,1607,1403,53.4,0.51
St Louis Blues,2012-13,48,124,221,345,8,515,92,29,3,24,160,56,4,1336,9.3,20.8,27.8,54.6,677,1120,1438,1397,50.7,0.531
Tampa Bay Lightning,2012-13,48,147,269,416,-1,567,116,31,0,17,207,61,0,1323,11.1,30.4,15.2,52.9,680,1105,1500,1432,51.2,0.396
Toronto Maple Leafs,2012-13,48,145,249,394,17,764,113,31,1,26,188,60,0,1264,11.5,29.9,19.8,60.8,826,1626,1477,1474,50.1,0.573
Vancouver Canucks,2012-13,48,122,204,326,30,605,94,26,2,21,156,47,0,1350,9,20,24.4,54.1,566,1020,1365,1503,47.6,0.552
Washington Capitals,2012-13,48,146,258,404,40,508,99,44,3,24,173,82,1,1350,10.8,29.9,20.4,60.8,765,1091,1484,1439,50.8,0.521
Winnipeg Jets,2012-13,48,126,215,341,-40,527,105,20,1,22,176,37,2,1389,9.1,21.8,17.2,46.5,713,1411,1344,1401,49,0.469
Anaheim Ducks,2011-12,82,201,344,545,-88,962,152,45,4,31,250,87,5,2291,8.8,31.2,34.9,79.1,1160,1827,2124,2360,47.4,0.457
Arizona Coyotes,2011-12,82,210,370,580,85,739,170,34,6,36,301,63,4,2429,8.6,34.5,41.5,95.9,1071,2084,2321,2307,50.2,0.537
Boston Bruins,2011-12,82,260,426,686,286,1093,209,43,8,40,340,76,9,2653,9.8,56.3,43.3,116.5,1054,1778,2633,2196,54.5,0.555
Buffalo Sabres,2011-12,82,211,363,574,-41,886,162,44,5,32,275,83,5,2397,8.8,34.2,33.4,84.1,1075,1512,2345,2390,49.5,0.47
Calgary Flames,2011-12,82,199,331,530,-125,865,150,46,3,34,240,87,4,2258,8.8,30.4,35.6,82.6,1158,1603,2218,2586,46.2,0.518
Carolina Hurricanes,2011-12,82,212,334,546,-143,751,151,49,12,32,235,94,5,2497,8.5,36.1,30,82.1,1239,1699,2464,2393,50.7,0.476
Chicago Blackhawks,2011-12,82,241,420,661,84,828,192,42,7,38,329,82,8,2583,9.3,47.7,32.9,91.6,1029,1500,2390,2338,50.5,0.549
Colorado Avalanche,2011-12,82,199,342,541,-79,890,153,41,5,32,259,76,6,2583,7.7,30.2,37.9,83.3,1111,1889,2409,2257,51.6,0.439
Columbus Blue Jackets,2011-12,82,198,339,537,-233,1021,142,49,7,25,236,94,7,2454,8.1,30.1,24.7,67,1054,2018,2439,2354,50.9,0.36
Dallas Stars,2011-12,82,204,367,571,18,1008,166,33,5,35,295,63,5,2315,8.8,32.7,36.9,85.8,1262,2235,2329,2413,49.1,0.476
Detroit Red Wings,2011-12,82,239,424,663,212,675,189,48,2,39,328,91,3,2638,9.1,47.1,44.7,105,972,1612,2357,2212,51.6,0.549
